time,period,step,boundnumber,cellnumber,rate-requested,rate-actual,wel-reduction
1.000000000000000,1,1,138,247515,-3.699310000000000,-2.714775262613294,-.9845347373867059
1.000000000000000,1,1,139,248084,-132.1960000000000,.000000000000000,-132.1960000000000
1.000000000000000,1,1,140,248653,-257.8680000000000,.000000000000000,-257.8680000000000
1.000000000000000,1,1,141,249222,-367.5030000000000,-204.5579067820023,-162.9450932179977
1.000000000000000,1,1,465,18209,-9.732690000000000,-.8869879441181306,-8.845702055881869
1.000000000000000,1,1,496,36417,-.5779780000000000,.000000000000000,-.5779780000000000
1.000000000000000,1,1,505,41538,-24.56310000000000,.000000000000000,-24.56310000000000
1.000000000000000,1,1,506,42107,-33.27090000000000,.000000000000000,-33.27090000000000
1.000000000000000,1,1,615,331728,-1.936150000000000,-.9226300287362179,-1.013519971263782
1.000000000000000,1,1,616,332297,-4.997440000000000,.000000000000000,-4.997440000000000
1.000000000000000,1,1,617,332866,-5.143270000000000,.000000000000000,-5.143270000000000
1.000000000000000,1,1,618,333435,-4.712880000000000,.000000000000000,-4.712880000000000
1.000000000000000,1,1,619,334004,-3.488840000000000,.000000000000000,-3.488840000000000
1.000000000000000,1,1,620,334573,-3.992160000000000,.000000000000000,-3.992160000000000
1.000000000000000,1,1,621,335142,-3.764890000000000,.000000000000000,-3.764890000000000
1.000000000000000,1,1,622,335711,-4.966280000000000,.000000000000000,-4.966280000000000
1.000000000000000,1,1,623,336280,-7.387690000000000,.000000000000000,-7.387690000000000
1.000000000000000,1,1,624,336849,-14.64910000000000,.000000000000000,-14.64910000000000
1.000000000000000,1,1,625,337418,-17.24590000000000,.000000000000000,-17.24590000000000
1.000000000000000,1,1,626,337987,-24.91720000000000,.000000000000000,-24.91720000000000
1.000000000000000,1,1,627,339125,-30.11750000000000,.000000000000000,-30.11750000000000
1.000000000000000,1,1,628,339694,-28.43870000000000,.000000000000000,-28.43870000000000
1.000000000000000,1,1,629,348229,-26.12170000000000,.000000000000000,-26.12170000000000
1.000000000000000,1,1,630,348798,-20.68280000000000,.000000000000000,-20.68280000000000
1.000000000000000,1,1,631,349367,-13.27210000000000,.000000000000000,-13.27210000000000
1.000000000000000,1,1,632,349936,-15.81470000000000,.000000000000000,-15.81470000000000
1.000000000000000,1,1,633,350505,-16.80370000000000,.000000000000000,-16.80370000000000
1.000000000000000,1,1,634,351074,-16.78410000000000,.000000000000000,-16.78410000000000
1.000000000000000,1,1,635,351643,-17.83020000000000,.000000000000000,-17.83020000000000
1.000000000000000,1,1,636,352212,-18.33450000000000,.000000000000000,-18.33450000000000
1.000000000000000,1,1,637,352781,-18.63750000000000,.000000000000000,-18.63750000000000
1.000000000000000,1,1,638,353350,-18.63350000000000,.000000000000000,-18.63350000000000
1.000000000000000,1,1,639,353919,-18.54170000000000,.000000000000000,-18.54170000000000
1.000000000000000,1,1,640,354488,-31.29980000000000,.000000000000000,-31.29980000000000
1.000000000000000,1,1,641,355057,-44.17720000000000,.000000000000000,-44.17720000000000
1.000000000000000,1,1,644,367575,-4.278750000000000,.000000000000000,-4.278750000000000
1.000000000000000,1,1,645,368144,-2.496530000000000,-.5439659923323326,-1.952564007667667
1.000000000000000,1,1,1785,730027,-66.88860000000000,-57.93347815671566,-8.955121843284338
1.000000000000000,1,1,2260,642971,-33.57580000000000,.000000000000000,-33.57580000000000
1.000000000000000,1,1,2295,814240,-5.626360000000000,.000000000000000,-5.626360000000000
1.000000000000000,1,1,2296,814809,-5.955030000000000,.000000000000000,-5.955030000000000
1.000000000000000,1,1,2297,815378,-6.299640000000000,.000000000000000,-6.299640000000000
1.000000000000000,1,1,2298,815947,-5.447530000000000,.000000000000000,-5.447530000000000
1.000000000000000,1,1,2299,816516,-4.762080000000000,.000000000000000,-4.762080000000000
1.000000000000000,1,1,2300,817085,-4.928490000000000,.000000000000000,-4.928490000000000
1.000000000000000,1,1,2301,817654,-3.982620000000000,.000000000000000,-3.982620000000000
1.000000000000000,1,1,2302,818223,-3.409290000000000,.000000000000000,-3.409290000000000
1.000000000000000,1,1,2303,818792,-10.66780000000000,.000000000000000,-10.66780000000000
1.000000000000000,1,1,2304,819361,-21.62880000000000,.000000000000000,-21.62880000000000
1.000000000000000,1,1,2305,819930,-21.49510000000000,.000000000000000,-21.49510000000000
1.000000000000000,1,1,2307,830741,-13.51370000000000,.000000000000000,-13.51370000000000
1.000000000000000,1,1,2308,831310,-12.93960000000000,-3.429346468145977,-9.510253531854023
1.000000000000000,1,1,2309,831879,-13.67300000000000,.000000000000000,-13.67300000000000
1.000000000000000,1,1,2310,832448,-13.55850000000000,.000000000000000,-13.55850000000000
1.000000000000000,1,1,2311,833017,-13.67500000000000,.000000000000000,-13.67500000000000
1.000000000000000,1,1,2312,833586,-17.86670000000000,.000000000000000,-17.86670000000000
1.000000000000000,1,1,2313,834155,-18.80900000000000,.000000000000000,-18.80900000000000
1.000000000000000,1,1,2314,834724,-19.04150000000000,.000000000000000,-19.04150000000000
1.000000000000000,1,1,2315,835293,-19.01850000000000,.000000000000000,-19.01850000000000
