#rno k i j rlen rwid rgrd rtp rbth rhk man ncon ustrf ndv line_id
1 3 684 569 100.36323 35.44864463806152 0.0003483136851321825 200.29073333740234 1 1.0 0.03700000047683716 1 1.0 0 13434587
2 4 685 568 177.14517 35.45321273803711 0.0002738388800878669 200.25577545166016 1 1.0 0.03700000047683716 2 1.0 0 13434595
3 4 686 567 194.19916 35.45822742806971 0.00024699186983698023 200.20726621611408 1 1.0 0.03700000047683716 2 1.0 0 13434609
4 4 686 566 218.9435 35.4630769865279 0.000195847222655754 200.15930060302932 1 1.0 0.03700000047683716 2 1.0 0 13434609
5 4 687 565 150.3907 35.46741231158523 0.0002872683631016701 200.11642112728128 1 1.0 0.03700000047683716 2 1.0 0 13434609
6 4 687 564 221.72578 35.471780295025106 0.0001686030925537949 200.07321863669486 1 1.0 0.03700000047683716 2 1.0 0 13434609
7 5 687 563 100.2711 35.475559965472655 0.000233924878798043 200.03583498376267 1 1.0 0.03700000047683716 2 1.0 0 13434609
8 5 688 563 101.76192 35.477931472434676 0.000406610442646381 200.0123790781686 1 1.0 0.03700000047683716 2 1.0 0 13434609
9 2 725 529 110.48136 5.258731916799904 0.0009828546500894326 204.430130557066 1 1.0 0.03700000047683716 1 1.0 0 13436935
10 2 724 529 167.14427 5.280265518166857 0.0009542147409867635 204.32154343727646 1 1.0 0.03700000047683716 2 1.0 0 13436935
11 2 723 530 240.62915 5.3118938272476255 0.0008024028620823582 204.16205190920513 1 1.0 0.03700000047683716 2 1.0 0 13436935
12 2 722 531 253.02397 5.3501832714189765 0.0006926168902767792 203.96897039023125 1 1.0 0.03700000047683716 2 1.0 0 13436935
13 3 721 532 195.03589 5.38493633553771 0.0008364808543584238 203.79372171388553 1 1.0 0.03700000047683716 2 1.0 0 13436935
14 5 688 562 223.246 35.48201348152208 0.00023792517762368727 199.97100162000623 1 1.0 0.03700000047683716 2 1.0 0 13434621
15 5 689 561 177.86072 35.48720146980333 0.00016669659348682086 199.91788577527967 1 1.0 0.03700000047683716 2 1.0 0 13434621
16 3 720 532 205.65591 5.442139214744792 0.000837353532746236 203.63057792709873 1 1.0 0.03700000047683716 2 1.0 0 13436875
17 3 719 532 202.07379 5.469473737640533 0.0008461014058028246 203.4583712207239 1 1.0 0.03700000047683716 2 1.0 0 13436875
18 3 718 532 202.73938 5.496612737846902 0.0006881049006518921 203.28739630165654 1 1.0 0.03700000047683716 2 1.0 0 13436875
19 3 717 532 127.565636 5.518756642467632 0.0010959459602783179 203.14789034080405 1 1.0 0.03700000047683716 2 1.0 0 13436875
20 3 716 531 203.4473 5.540948020677406 0.0008460531135626339 203.00808529770896 1 1.0 0.03700000047683716 2 1.0 0 13436875
21 3 715 531 204.09438 5.568269926368198 0.0008459711138092306 202.83595807936163 1 1.0 0.03700000047683716 2 1.0 0 13436875
22 3 714 531 204.70346 5.595676074969804 0.0008416501329971384 202.66330013310434 1 1.0 0.03700000047683716 2 1.0 0 13436875
23 3 713 531 203.2206 5.623023611979487 0.000780065340198139 202.4910114381868 1 1.0 0.03700000047683716 2 1.0 0 13436875
24 3 712 531 172.1161 5.64818648005454 0.0009229070300615884 202.33248609458826 1 1.0 0.03700000047683716 2 1.0 0 13436875
25 3 711 530 203.98256 5.673400430726182 0.0008467007420178602 202.1736389321036 1 1.0 0.03700000047683716 2 1.0 0 13436875
26 3 710 530 204.94383 5.700815188570275 0.0019249387450961527 202.00092674786677 1 1.0 0.03700000047683716 2 1.0 0 13436875
27 5 689 560 143.13654 35.50244331359863 0.00012721159619313432 199.88823699951172 1 1.0 0.03700000047683716 2 1.0 0 13434625
28 3 709 529 246.47552 6.137653589248657 0.0015150710773358539 201.6064224243164 1 1.0 0.03700000047683716 2 1.0 0 13436733
29 5 689 559 203.35316 35.5069127795605 0.0001 199.87002837233882 1 1.0 0.03700000047683716 2 1.0 0 13435241
30 5 689 558 127.604935 35.5118059188264 0.00015589182689076784 199.85031483647285 1 1.0 0.03700000047683716 2 1.0 0 13435241
31 5 690 558 206.35887 35.51674349564477 0.0001734247373982673 199.83042227008337 1 1.0 0.03700000047683716 2 1.0 0 13435241
32 5 592 569 177.36238 6.19883955284047 0.0001 210.2617950439453 1 1.0 0.03700000047683716 1 1.0 0 13433723
33 5 593 569 215.50987 6.250816554229735 0.0001 210.2617950439453 1 1.0 0.03700000047683716 2 1.0 0 13433723
34 5 594 569 147.66096 6.29886405997524 0.0001 210.2617950439453 1 1.0 0.03700000047683716 2 1.0 0 13433723
35 5 595 568 230.19157 6.3488539630853085 0.0001 210.2617950439453 1 1.0 0.03700000047683716 2 1.0 0 13433723
