per,nseg,icalc,outseg,iupseg,iprior,nstrpts,flow,runoff,etsw,pptsw,roughch,roughbk,cdpth,fdpth,awdth,bwdth,hcond1,thickm1,elevup,width1,depth1,thts1,thti1,eps1,uhc1,hcond2,thickm2,elevdn,width2,depth2,thts2,thti2,eps2,uhc2
0,545,1,556,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.24937,13.513855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.03247,13.742435,0.0,0.0,0.0,0.0,0.0
0,546,1,557,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.27023,94.12031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.27023,94.127174,0.0,0.0,0.0,0.0,0.0
0,547,1,558,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.57924,18.430593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.811,18.473722,0.0,0.0,0.0,0.0,0.0
0,548,1,559,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.34372,9.087559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.16644,9.183974,0.0,0.0,0.0,0.0,0.0
0,549,1,560,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.51259,11.394992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.60345,11.720878,0.0,0.0,0.0,0.0,0.0
0,550,1,561,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.89035,6.0162406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.212,6.2397957,0.0,0.0,0.0,0.0,0.0
0,551,1,562,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.96257,13.315584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.38306,13.425878,0.0,0.0,0.0,0.0,0.0
0,552,1,563,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.37814,24.481163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.37814,24.505657,0.0,0.0,0.0,0.0,0.0
0,553,1,564,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.32378,49.3404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.32378,49.35203,0.0,0.0,0.0,0.0,0.0
0,554,1,565,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.9144,10.027203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.9144,10.102896,0.0,0.0,0.0,0.0,0.0
0,555,1,566,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.93617,5.478545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.09174,5.6932836,0.0,0.0,0.0,0.0,0.0
0,556,1,567,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.03247,14.029563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.6553,14.116011,0.0,0.0,0.0,0.0,0.0
0,557,1,568,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.27023,94.259766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.27023,94.26196,0.0,0.0,0.0,0.0,0.0
0,558,1,569,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.811,18.719515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.056,18.748161,0.0,0.0,0.0,0.0,0.0
0,559,1,570,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.16644,9.285785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.8049,9.4906845,0.0,0.0,0.0,0.0,0.0
0,560,1,570,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.60345,12.069727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.8049,12.096523,0.0,0.0,0.0,0.0,0.0
