per,k,i,j,q,boundname
0,8,559,540,-938.9686072932308,wel_514310
0,8,558,540,-1003.2247371521495,wel_514313
0,8,556,547,-1051.9350291419748,wel_514316
0,8,653,567,-167.3768543905704,wel_514320
0,8,640,552,-46.63751360727968,wel_514322
0,8,651,555,-134.73059486547461,wel_514325
0,8,651,556,-134.73059486547461,wel_514328
0,8,672,541,-268.42480053967637,wel_514331
0,8,653,516,-130.5850381003831,wel_514334
0,8,615,547,-177.53346846504465,wel_514336
0,8,675,565,-22.8005622080034,wel_514339
0,8,675,565,-22.8005622080034,wel_514342
0,8,675,565,-21.764173016730517,wel_514345
0,8,674,565,-108.82086508365258,wel_514348
0,8,632,559,-63.841574182409516,wel_514351
0,8,633,559,-63.841574182409516,wel_514354
0,8,633,559,-63.841574182409516,wel_514357
0,8,836,290,-279.42177372633023,wel_6176
0,8,835,297,-279.42177372633023,wel_6177
0,8,694,204,-279.42177372633023,wel_6201
0,8,704,320,-279.42177372633023,wel_6202
0,8,751,220,-279.42177372633023,wel_6203
0,8,751,222,-279.42177372633023,wel_6204
0,8,754,290,-279.42177372633023,wel_6205
0,8,755,260,-279.42177372633023,wel_6206
0,8,756,259,-279.42177372633023,wel_6207
0,8,753,247,-279.42177372633023,wel_6208
0,8,754,246,-279.42177372633023,wel_6209
0,8,752,242,-279.42177372633023,wel_6210
0,8,763,274,-279.42177372633023,wel_6211
0,8,761,274,-279.42177372633023,wel_6212
0,8,756,320,-279.42177372633023,wel_6213
0,8,763,318,-279.42177372633023,wel_6214
0,8,766,296,-279.42177372633023,wel_6215
0,8,764,292,-279.42177372633023,wel_6216
0,8,764,294,-279.42177372633023,wel_6217
0,8,771,218,-279.42177372633023,wel_6218
0,8,770,219,-279.42177372633023,wel_6219
0,8,771,308,-279.42177372633023,wel_6220
0,8,768,326,-279.42177372633023,wel_6221
0,8,778,294,-279.42177372633023,wel_6222
0,8,783,282,-279.42177372633023,wel_6223
0,8,799,176,-279.42177372633023,wel_6224
0,8,792,266,-279.42177372633023,wel_6225
0,8,791,267,-279.42177372633023,wel_6226
0,8,785,282,-279.42177372633023,wel_6227
0,8,782,326,-279.42177372633023,wel_6228
0,8,790,327,-279.42177372633023,wel_6229
0,8,794,324,-279.42177372633023,wel_6230
0,8,796,319,-279.42177372633023,wel_6231
0,8,805,249,-279.42177372633023,wel_6232
0,8,801,250,-279.42177372633023,wel_6233
0,8,799,250,-279.42177372633023,wel_6234
0,8,809,168,-279.42177372633023,wel_6235
0,8,817,201,-279.42177372633023,wel_6236
0,8,814,234,-279.42177372633023,wel_6237
0,8,813,248,-279.42177372633023,wel_6238
0,8,812,249,-279.42177372633023,wel_6239
0,8,810,253,-279.42177372633023,wel_6240
0,8,808,256,-279.42177372633023,wel_6241
0,8,806,258,-279.42177372633023,wel_6242
0,8,808,258,-279.42177372633023,wel_6243
0,8,806,274,-279.42177372633023,wel_6244
